WorkerId,Answer.essay1,Answer.essay2,job_title,Answer.burnedout,Answer.energized,Answer.engrossed,Answer.fatigued,Answer.frustrated,Answer.intend_look,Answer.intend_stay,Answer.meaningful,Answer.proud,Answer.strong,Answer.time_flies,Answer.want_stay,Org Type,Years Experience,Industry,org_size,ONET1,ONET2,ONET3,Role_level
11,"I work in a remote office for a large company, so I like the fact that my boss is in another state and not hanging over my shoulder constantly. That isn't to say that I don't do my work, I do. But in previous jobs I have worked in, some of my managers have been micromanagers and ended up doing more harm than good from a productivity standpoint.Being remote also means that, relative to the area I live, I make a good bit more than average for the type of work that I do. This is because my income is based on the income for the role in home office in New York City, but where I live it goes further than it would in a place like that.","It depends strongly on my workload. The workload for my job comes in waves; sometimes it is slow and I have nothing to do, then I am overwhelmed and working 10+ hour days. When I have a lot to do time passes more quickly, but when I do not it passes more slowly. I also struggle with ways to be productive during the times that the normal workload is slow. When I am busy though, I do not tend to get distracted from the tasks I have to complete.",Financial Analyst,A few times a month,Occasionally,Rarely,Every week,A few times a month,Disagree,Strongly Agree,Never,Rarely,Occasionally,Rarely,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Technology,101 to 500,Computer and Mathematical  ,Computer Occupations,Computer Support Specialists,Senior Individual Contributor
12,"Design and implement monitoring, configuration management and reporting functions that will makea hands-off environment. Define and document best practices and support procedures. Provide after-hours support for Infrastructure related emergencies as well occasional weekendmaintenance. Maintain inventory and asset configuration documentation.  Assist with hardware, firewall, telecom and software vendor evaluation, recommendation andnegotiations. Mentor / cross train team members on existing and new technologies. Carry out special tasks at Management's direction Interact with customers and staff at the technical level, as required. Other duties as assigned.","It depends upon what the job is. Each task requires different duties and responsibilities. No two jobs are identical. Therefore, time mostly seems to fly. I feel a sense of accomplishment when I run into issues and have to solve them. Job descriptions assist organizations in ensuring that the hiring process is fairly administered and thatqualified employees are selected. They are also essential to an effective appraisal system and relatedpromotion, transfer, layoff, and termination decisions. Well constructed job descriptions are an integral partof any effective compensation system.",analyst IT,A few times a week,Occasionally,Nearly Always,A few times a year,Every week,Somewhat Agree,Agree,Sometimes,Sometimes,Frequently,Nearly Always,Somewhat Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,Do Not Know,Computer and Mathematical  ,Mathematical Science Occupations,Mathematicians,Manager/Supervisor
13,"I like interacting with the students who are actually interested and trying to learn. I enjoy being able to talk about interesting things with them. The best thing is when you get to see a kid who was thinking about a concept without understanding it have that moment of realization. I really enjoy working with motivated students who understand why they would want to invest in their education. Those moments are not every moment, but they happen a lot.","It depends on the class period and topic. For example, my physics classes have been working on conservation of energy, which I think is very interesting and somewhat like solving a puzzle. Their class periods go really fast for me, and they also don't have many issues with classroom management. On the other hand, my tech physics class is learning about forces. At this point in the year, I am very bored of forces, plus it's a lower level class so we don't go so much in depth and there are more classroom management struggles. Those classes drag on.",High School Science Teacher,A few times a year,Sometimes,Sometimes,Every week,A few times a week,Somewhat Disagree,Agree,Nearly Always,Frequently,Sometimes,Sometimes,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",3 to 5,Education,1001 to 5000,Educational Instruction and Library  ,"Pre-kindergarten, Kindergarten, Grade 1-12, and Special Education Teachers",Grade 9-12 Teachers,Junior Individual Contributor
14,I love the creativity involved and the variety of different activities and skills involved. I also really love the supportive team that I work on and I love the fact that I get frequent travel all over the world to amazing places I could never visit on my own. I'm also paid well.,"Both - When I'm sitting at my desk, time drags a bit more. When I'm out dining with a client or hosting a customer event in some fancy resort somewhere it travels very quickly. So I have very mixed feelings on both ends of the spectrum.",sales operations manager,A few times a month,Sometimes,Frequently,A few times a month,A few times a week,Somewhat Disagree,Agree,Nearly Always,Nearly Always,Sometimes,Sometimes,Somewhat Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,5001 to 10000,Sales and Related  ,"Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing",Middle Manager
15,"I really enjoy my coworkers. They are a great group of people who genuinely want to help others and I enjoy that I get to work closely with them on a day to day basis. On the same note, I like the constant interaction with my coworkers and the fact that I have to rely on them and am forced to have interaction with them to complete my daily job.","Time passes very slowly when I am at work. It is hard to focus on my work, but honestly it is because I don't have enough work to do to take a whole day up. Most days, I waste time until about 9:30 and then I complete my responsibilities (calling applicants assigned to me) before noon and in the afternoon I don't really have anything to do. I refresh my screen and hope for things to come up but it's easy to get distracted because there's not really much to keep my attention.",Admissions Counselor at a university,Every day,Never,Never,Every day,Every day,Strongly Agree,Strongly Disagree,Never,Never,Never,Rarely,Strongly Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Education,5001 to 10000,Educational Instruction and Library  ,Other Educational Instruction and Library Occupations,Miscellaneous Educational Instruction and Library Workers,Senior Individual Contributor
16,"My job never lacks meaning -- teaching students is clearly and undoubtedly important work. In addition, I'm certainly never bored. Time flies by; I am looking at the clock wishing I had more time rather than wishing the minutes would hurry by. I am also compensated fairly now that I have worked for nearly 20 years in the same system. I'm also grateful that I don't have to travel (and leave my family) at all for my job. My own kids are in the same building in which I teach, so my job also allows me to interact with them during the day.","For me, time passes quickly when I am teaching. That's not to say that it is easy work, but I generally find myself wishing I could teach just a little more or work with one more student when suddenly the bell rings or the class period ends. It's easy for me to focus on work -- my work is intense enough that it demands my full attention -- but sometimes I feel scattered because too many parts of my job need me all at once. One child needs remediation, another needs more advanced work, and yet another has a bloody nose.",elementary school teacher,A few times a week,Sometimes,Frequently,A few times a week,A few times a week,Disagree,Agree,Frequently,Frequently,Sometimes,Frequently,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,101 to 500,Educational Instruction and Library  ,"Pre-kindergarten, Kindergarten, Grade 1-12, and Special Education Teachers",Grade 1-8 Teachers,Senior Individual Contributor
17,"I love my job because I am good at it.  I work for our local government and I'm very familiar with this county, since I grew up here.  This helps me do well with my job.  I also learn quickly and have a good memory, which has aided me well with my work.  I just moved up into a new position and I'm enjoying the new challenges that this position is bringing me.  I like my job because I like feeling confident in my abilities and I like being able to solve problems and be able to help out the taxpayers who come in with problems or questions.","It depends on what I'm doing.  If I'm doing something unfamiliar or something that requires a lot of thought, I find that I tend to get wrapped up in what I'm doing and then I lose track of time.  If I'm doing something that is more mindless, then time tends to drag.  For instance, I've been entering coal assessments lately, which is something that isn't new to me, and it's fairly monotonous, which has been making for very long days.  However, when I get done with that, I know that I have to work on property divisions, which is challenging and requires a lot more thought and concentration.  I will probably lose track of time with that.",chief deputy in a local government office,Monthly,Frequently,Sometimes,A few times a month,A few times a month,Strongly Disagree,Strongly Agree,Nearly Always,Always,Nearly Always,Sometimes,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Government/Non-Profit,101 to 500,Office and Administrative Support  ,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants,Junior Individual Contributor
18,I love that my job Is fast paced and always changing.  Never know what I will walk into each day or how crazy it will be.  Also love how I work on many teams during the week and get to see other ideas from the teams I work on.  Normally I am the go to person and have to think on my feet and find ways to get the job done.  It's fun.,Work is normally very fast paced so time passes fast.  Normally I look up and feel like I have only been there a couple hours and it's almost time to go home.  I am always focused on my work but I have many people that come see me for many things and have to stop what I am doing to help them.,"Sr, Production Control Planner",Never,Always,Nearly Always,Never,A few times a year,Strongly Disagree,Strongly Agree,Nearly Always,Always,Always,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Aerospace,50001 to 200000,Office and Administrative Support  ,"Material Recording, Scheduling, Dispatching, and Distributing Workers","Production, Planning, and Expediting Clerks",Senior Individual Contributor
19,I am a sales manager and I enjoy being the go to person for when conflicts arise. I enjoy having the responsibility and the ability to tell our customers yes or no without getting into trouble. Some customers may be hard to deal with but there are a handful of customers that are a delight and can make the job more enjoyable. I am surrounded by electronics all day and I enjoy seeing the newest technology.,"Time passes quickly when I am constantly working and helping customers. When I am focused on my work, time can fly by quickly. I usually assist one issue at a time and rarely get distracted. If I do get distracted, things can become disorganized quickly. During holidays or slow days, time can pass very slowly with nothing to do but clean.",Sales Manager,A few times a week,Rarely,Occasionally,A few times a month,A few times a month,Somewhat Agree,Disagree,Rarely,Rarely,Sometimes,Rarely,Somewhat Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Insurance,<100,Office and Administrative Support  ,Other Office and Administrative Support Workers,Data Entry and Information Processing Workers,Junior Individual Contributor
20,"My favorite thing about my job is the ability to solve problems. I like working hard to find a solution that will solve problems. I get a lot of joy from thinking outside of the box when I work on things, and I think that the people that I work with also appreciate the way that I approach problems. Solving problems just in general makes my job feel meaningful because I know that I am helping out the rest of the office, and also making our clients be able to get the results that they need.","When I am working I tend to experience time passing at different rates depending on what I am doing. If I am doing something routine and boring, like setting up a new machine, it will feel like the task is taking forever and I experience time going slowly. If I am working on something novel, or solving an unexpected problem though it feels like time is flying. Recently there was a syncing issue between a cloud provider and one of our local servers and I had to fix that. I wound up spending 4 hours on it, but it just felt like I had spent about 30 minutes on it.",System Administrator,A few times a year,Nearly Always,Frequently,A few times a year,A few times a year,Strongly Disagree,Strongly Agree,Always,Always,Nearly Always,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Technology,101 to 500,Computer and Mathematical  ,Computer Occupations,Database and Network Administrators and Architects,Manager/Supervisor
21,I enjoy the situations where I am able to help students and solve their problems.  I particularly enjoy being able to give a student good news about their future.  It is satisfying when I feel like a student I am assisting has gained insight from our conversation.  I also enjoy when I am able to help influence policy and procedure in the university I work for to help make life easier for my coworkers and the students we assist.,"When we are in a busy season at work, time tends to pass quickly.  You are so busy working on daily tasks that the workday can fly by.  During our slow seasons, the days can drag on as there is not much work to do. It is easy to get distracted, particularly when things are slow.  We work on the computer, so there is always something to read or engage with that seems more interesting than the work task at hand.",Enrollment Service Specialist,Every week,Occasionally,Rarely,Every week,A few times a week,Agree,Somewhat Agree,Sometimes,Sometimes,Rarely,Occasionally,Somewhat Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Education,<100,Office and Administrative Support  ,Other Office and Administrative Support Workers,Miscellaneous Office and Administrative Support Workers,Senior Individual Contributor
22,"I really like the fact that I am able to talk to people about a variety of things. I enjoy feeling as if I sometimes help them or make a difference in their lives. I love the peaceful feeling at work and the fact that most of the time, the people I work with and those that come into my office are kind and thoughtful. I enjoy the times that something happens that is odd or funny. My job is never dull.","Time passes very quickly at work. I have certain things that have to be done each week, and my job has a lot of interruptions. I get a lot of phone calls or people stopping into my office, which makes the time I have alone fairly intense. Some of the things I have to do can not be put off until the next day or the next week, so when I am working, I concentrate seriously on getting the job done. Time passes more quickly than I would like sometimes.",Administrative Support,Never,Frequently,Nearly Always,A few times a year,A few times a year,Strongly Disagree,Strongly Agree,Always,Always,Sometimes,Nearly Always,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Government/Non-Profit,<100,Office and Administrative Support  ,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants,Senior Individual Contributor
23,"I like the flexibility offered by my job and the collegiate environment that I'm in. My coworkers and supervisor are not competitive at all, and that fosters a collaborative environment where people aren't afraid to suggest ideas, make corrections, or simply be at their best. I really enjoy the autonomy I have at work. I am in my office mostly alone to supervise my subordinates, and I don't have to worry about someone coming in to monopolize my space. I'm able to take time off during the day if I need to for personal reasons. My boss is incredibly understanding of work-life balance issues.","It depends. On busy days, time passes by quickly and I feel like I barely have had time to use the bathroom. On other days, usually travel days for my colleagues, time passes by slowly and I feel like I don't have much or any work to do. It's easy to focus on my work, but I like to multitask so I guess you could say that I'm also easily distracted. I'm very liable to be ""working"" on multiple projects at once, or have multiple things going where I am part-way through the task.",Office Manager,A few times a month,Sometimes,Sometimes,A few times a month,A few times a week,Somewhat Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Education,10001 to 50000,Office and Administrative Support  ,Supervisors of Office and Administrative Support Workers,First-Line Supervisors of Office and Administrative Support Workers,Manager/Supervisor
24,I like that I have some responsibility. I like the structure in it; there are certain things I need to get done and within certain timeframes. I like most of the people I work with. I like that I'm not bottom of the rung in the branch anymore. I like that I feel competent in what I'm doing and that I don't have to worry every day if I'm doing things correctly. I like that my manager knows she can rely on me to get my job done and cover for her when she is off for the day.,"About half the time my day goes by quickly. I have things that I need to get done on different days and the days I have more to do goes by faster. I have to do these tasks between helping customers and answering employee questions. An example would be, on Thursdays I have shipment that comes in. That takes up approximately 30 minutes of my nearly 9 hour shift. I also have to help customers, question employees about their training and policy retention, complete my own training and coordinate lunches/breaks. Those days almost always go by quickly. I don't generally have a problem focusing on my work unless I'm really burned out that day.",Lead Teller & Branch Operations Specialist,A few times a week,Rarely,Occasionally,Every day,A few times a week,Disagree,Agree,Rarely,Occasionally,Rarely,Sometimes,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Financial Services,50001 to 200000,Sales and Related  ,Retail Sales Workers,Cashiers,Junior Individual Contributor
25,"I work with preschoolers. I love this age, 3 and 4 year olds are a joy, and a frustration at the same time. They are full of wonder, and they want to be independent. They always give hugs, which is my favorite. Even their siblings will hug you if they see you in the halls. I love my coworkers, I work with an amazing team. There are 5 of us total and we are all friends. I have good hours and I am home with my own children after school and during vacations","It depends on the day. I work with special needs kids often. Some of those days are exhausting, there is one boy who is non verbal, blind, bites and can't walk. When I work with him it's really hard, and time passes slowly. When I work with some of the other children, it can pass really quickly, especially if we are playing games, reading, outside or doing an activity. I love what I do and most days go by uneventfully and quickly. I look forward to going to work every day",prek teacher,A few times a month,Nearly Always,Sometimes,A few times a month,Monthly,Strongly Disagree,Strongly Agree,Always,Always,Frequently,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,101 to 500,Educational Instruction and Library  ,"Pre-kindergarten, Kindergarten, Grade 1-12, and Special Education Teachers",Pre-kindergarten and Kindergarten Teachers,Junior Individual Contributor
26,"I work retail.  Basically the job itself is not so bad.  The pay is generous for what I do.   In fact, let's face it, I am overpaid.  But honestly, what I do makes no difference in the world.   It bothers me and is the main reason I would leave my job.   I have a desire for my work to matter to others and in the grand scheme of things.   So I'm basically going to say I like the pay, that's about it.","It usually moves slow when I have down time.  Unfortunately that is most of the day.  When I work hard it passes quickly, but those times are few and far between.  Because of this I will usually branch out and do other things while we are slow, like mturk studies.",salesman,Every day,Occasionally,Rarely,Every week,Every day,Neither Agree nor Disagree,Neither Agree nor Disagree,Never,Never,Sometimes,Rarely,Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Retail,<100,Sales and Related  ,Retail Sales Workers,Counter and Rental Clerks and Parts Salespersons,Senior Individual Contributor
27,"The fact that I get to help people directly succeed at bettering themselves. Many of the students I work with have families or jobs or both, and many are trying to get better jobs to do right by them, or to advance themselves.  I get to help them, whether it's research and books, getting them a tutor, or even helping them from our food bank or my community contacts.  I have seen some former students, now working as nurses and aides at hospitals, directly saving my family members.  It doesn't get more personal than that. I know that I am having an effect on people, not just money or property.","For me, it depends on what kind of work I am doing that day or hour. Time passes slowly when I am proctoring exams or waiting on students to finish specific tasks, because I am acting passively. If I am taking active actions, like buying library materials or authorizing finals appointments, or managing a student issue, time passes much more quickly.  I can focus on my work when I need to, but I can get distracted, since I am surrounded by powerful computers and interesting books; these two things are capable of consuming lots of time very quickly!",LRC Manager,A few times a year,Sometimes,Sometimes,A few times a month,A few times a month,Strongly Disagree,Strongly Agree,Nearly Always,Always,Occasionally,Sometimes,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,10001 to 50000,Educational Instruction and Library  ,Other Educational Instruction and Library Occupations,Miscellaneous Educational Instruction and Library Workers,Manager/Supervisor
28,"There is a lot of variety in my job and I always have the opportunity to learn something new. The challenge is to stay on top of emerging technologies and find ways to integrate them into what I'm currently doing. I find this challenge fulfilling and it keeps my job from getting stagnant. It also allows me to work on several different, yet related tasks that require different skill sets. I would hate to be doing the same thing several years from now. My job allows for career development and advancement.","The amount of work I have to do tends to come in drips and waves. In general, time passes very quickly at work because, even if I don't have a lot to do on a particular day, I can use my down time to research emerging technologies or work on developing other skills that I may use in my work later. I can do this by reading industry articles or by attending training via web seminars during my downtime. I also have a sandbox lab where I can develop my skills by playing with different technologies when I have downtime. When there is a lot of work to do, time passes very quickly and I am happy to be working hard on either one task or a number of different tasks in order to get through the work day. I do not often find myself distracted because I like to focus on the work I have to do or the skills that I want to develop.",IT Manage,A few times a year,Nearly Always,Frequently,A few times a year,A few times a year,Strongly Disagree,Strongly Agree,Always,Always,Nearly Always,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Insurance,501 to 1000,Computer and Mathematical  ,Computer Occupations,Computer Support Specialists,Manager/Supervisor
29,"I enjoy fixing things that matter.  In my current job, the equipment that I work on is used in important situations where broken equipment could cause large issues.  I also find working on the equipment to be kind of relaxing.  I'm able to work by myself and work through the issues at my own pace.  Whenever a new software patch comes out, I can go to my office and work through all of the systems without interruption.  I also enjoy helping the customer out whenever they have issues.  It makes me feel secure in my job whenever one of the customers calls me and I can fix their issue right away.","When I don't have anything going on and I'm just sitting in my office, time goes by slowly.  But, whenever I have a project that I'm working on, time seems to fly by. So, whenever there is a problem on a piece of equipment that I'm fully focused on, an hour can pass in what feels like minutes.   I'd say the focus/distracted aspect is about 50/50 depending on what I'm doing.  If it's something boring, like typing up a report, I'm very easily distracted.  I'll think about something random, like going on vacation, then spend 15 minutes searching for stuff online about the vacation.  But, if it's something I enjoy, like fixing a problem on the equipment, I'm very focused and ignoring everything else going on around me.",IT,Never,Sometimes,Frequently,A few times a month,A few times a year,Somewhat Disagree,Strongly Agree,Nearly Always,Nearly Always,Sometimes,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,501 to 1000,Computer and Mathematical  ,Computer Occupations,Miscellaneous Computer Occupations,Senior Individual Contributor
30,What I like most about my job is the work that I do. I enjoy most of the contact that I have with customers throughout the day. It is interesting to meet so many different people.  I usually enjoy hearing about their lives and then finding a way to help them with the problems they are having. Another thing that is good about the customer contact is that it happens all day.  It keeps me busy and occupied.  This makes time fly and my work day go by faster.,Usually when i am working it is easy to focus on my work. Time does seem to pass quickly if there is a lot of work to do.  An example would be getting continuous calls from customers throughout the day.  Answering each call and taking the time to help each customer keeps me focused and then time passes by very quickly.  Another example is when I have to type letters to customers.  When I have a large amount of letters to type out i am able to stay focused and then time flies by.,customer service representative,Every day,Sometimes,Sometimes,Every day,A few times a week,Neither Agree nor Disagree,Neither Agree nor Disagree,Never,Occasionally,Sometimes,Sometimes,Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Insurance,501 to 1000,Office and Administrative Support  ,Other Office and Administrative Support Workers,Insurance Claims and Policy Processing Clerks,Senior Individual Contributor
31,I like that I get to interact with students every single day. I feel like I am making a positive impact on their lives and teaching them about a subject I am passionate about. My coworkers are supportive and love to collaborate when designing projects and lesson plans. The administration team at our school is incredibly supportive and understand the frustrations with being a teacher. I feel good at the end of the day about what I've accomplished.,"On days where I have a solid lesson plan and the students are engaged, the day goes by quickly. I often do get distracted from working on future lesson plans, students are often in need of extra assistance with understanding lesson material, students in need letters of recommendation, and the many meetings and committees that most educators are apart of, tend to take up a lot of the extra time that would normally be used for lesson planning and grading.",High School Science Teacher,A few times a month,Sometimes,Frequently,A few times a year,Every week,Strongly Disagree,Strongly Agree,Always,Nearly Always,Sometimes,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Education,501 to 1000,Educational Instruction and Library  ,Other Teachers and Instructors,Miscellaneous Teachers and Instructors,Junior Individual Contributor
